id,name,link,indeed,favorite,category
31,Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company/jobs/,https://www.indeed.com/cmp/The-Walt-Disney-Company,0,Media
32,Warner Bros. Discovery,https://www.linkedin.com/company/warner-bros-discovery/jobs/,https://www.indeed.com/cmp/Warner-Bros.-Discovery,0,Media
33,Paramount Global,https://www.linkedin.com/company/paramount/jobs/,https://www.indeed.com/cmp/Paramount-66ac57f4,0,Media
34,Scale AI,https://www.linkedin.com/company/scaleai/jobs/,https://www.indeed.com/cmp/Scale-AI,0,AI
35,Anthropic,https://www.linkedin.com/company/anthropicresearch/jobs/,https://www.indeed.com/cmp/Anthropic,0,AI
36,OpenAI,https://www.linkedin.com/company/openai/jobs/,https://www.indeed.com/cmp/Openai,0,AI
37,Figma,https://www.linkedin.com/company/figma/jobs/,https://www.indeed.com/cmp/Figma,0,MarketingSaaS
38,Iterable,https://www.linkedin.com/company/iterable/jobs/,https://www.indeed.com/cmp/Iterable,0,MarketingSaaS
39,Miro,https://www.linkedin.com/company/mirohq/jobs/,https://www.indeed.com/cmp/Miro-3b3ebbc2,0,MarketingSaaS
40,Mixpanel,https://www.linkedin.com/company/mixpanel-inc-/jobs/,https://www.indeed.com/cmp/Mixpanel,0,MarketingSaaS
41,Airtable,https://www.linkedin.com/company/airtable/jobs/,https://www.indeed.com/cmp/Airtable,0,MarketingSaaS
42,Smartly,https://www.linkedin.com/company/smartly-io/jobs/,https://www.indeed.com/cmp/Smartly,0,MarketingSaaS
43,Canva,https://www.linkedin.com/company/canva/jobs/,https://www.indeed.com/cmp/Canva,0,MarketingSaaS
44,Boston Scientific,https://www.linkedin.com/company/boston-scientific/jobs/,https://www.indeed.com/cmp/Boston-Scientific,0,Healthcare
45,Amgen,https://www.linkedin.com/company/amgen/jobs/,https://www.indeed.com/cmp/Amgen,0,Healthcare
46,Johnson & Johnson,https://www.linkedin.com/company/johnson-&-johnson/jobs/,https://www.indeed.com/cmp/Johnson-&-Johnson,0,Healthcare
47,Pfizer,https://www.linkedin.com/company/pfizer/jobs/,https://www.indeed.com/cmp/Pfizer,0,Healthcare
48,Roche,https://www.linkedin.com/company/roche/jobs/,https://www.indeed.com/cmp/Roche,0,Healthcare
49,UnitedHealthcare,https://www.linkedin.com/company/unitedhealthcare/jobs/,https://www.indeed.com/cmp/UnitedHealthcare,0,Healthcare
50,Philips Healthcare,https://www.linkedin.com/company/philips/jobs/,https://www.indeed.com/cmp/Philips-Healthcare,0,Healthcare
51,Align Technology,https://www.linkedin.com/company/align-technology/jobs/,https://www.indeed.com/cmp/Align-Technology,0,Healthcare
52,VISA,https://www.linkedin.com/company/visa/jobs/,https://www.indeed.com/cmp/Visa,0,Fintech
53,Paypal,https://www.linkedin.com/company/paypal/jobs/,https://www.indeed.com/cmp/PayPal,0,Fintech
54,Square,https://www.linkedin.com/company/joinsquare/jobs/,https://www.indeed.com/cmp/Square,0,Fintech
55,Robinhood,https://www.linkedin.com/company/robinhood/jobs/,https://www.indeed.com/cmp/Robinhood,0,Fintech
56,Chime,https://www.linkedin.com/company/chime-card/jobs/,https://www.indeed.com/cmp/Chime-5,0,Fintech
57,Stripe,https://www.linkedin.com/company/stripe/jobs/,https://www.indeed.com/cmp/Stripe,0,Fintech
58,Plaid,https://www.linkedin.com/company/plaid-/jobs/,https://www.indeed.com/cmp/Plaid-3,0,Fintech
59,Adyen,https://www.linkedin.com/company/adyen/jobs/,https://www.indeed.com/cmp/Adyen,0,Fintech
60,Brex,https://www.linkedin.com/company/brexhq/jobs/,https://www.indeed.com/cmp/Brex-5,0,Fintech
61,Goldman Sachs,https://www.linkedin.com/company/goldman-sachs/jobs/,https://www.indeed.com/cmp/Goldman-Sachs,0,Finance
62,JPMorgan,https://www.linkedin.com/company/jpmorgan/jobs/,https://www.indeed.com/cmp/JPMorgan,0,Finance
63,Citadel,https://www.linkedin.com/company/citadel-llc/jobs/,https://www.indeed.com/cmp/Citadel-Securities,0,Finance
64,Jane Street,https://www.linkedin.com/company/jane-street-global/jobs/,https://www.indeed.com/cmp/Jane-Street-4,0,Finance
65,Hudson River Trading,https://www.linkedin.com/company/hudson-river-trading/jobs/,https://www.indeed.com/cmp/Hudson-River-Trading,0,Finance
66,Arrowstreet Capital,https://www.linkedin.com/company/arrowstreet-capital/jobs/,https://www.indeed.com/cmp/Arrowstreet-Capital,0,Finance
67,Two Sigma,https://www.linkedin.com/company/two-sigma-investments/jobs/,https://www.indeed.com/cmp/Two-Sigma,0,Finance
68,Five Rings,https://www.linkedin.com/company/fiverings/jobs/,https://fiverings.com/careers/,0,Finance
69,Optiver,https://www.linkedin.com/company/optiver/jobs/,https://www.indeed.com/cmp/Optiver,0,Finance
70,DRW,https://www.linkedin.com/company/drw/jobs/,https://www.indeed.com/cmp/DRW,0,Finance
71,IMC Trading,https://www.linkedin.com/company/imc-financial-markets/jobs/,https://www.indeed.com/cmp/Imc-Financial-Markets,0,Finance
72,Autodesk,https://www.linkedin.com/company/autodesk/jobs/,https://www.indeed.com/cmp/Autodesk,0,B2BSaaS
73,Databricks,https://www.linkedin.com/company/databricks/jobs/,https://www.indeed.com/cmp/Databricks,0,B2BSaaS
74,HubSpot,https://www.linkedin.com/company/hubspot/jobs/,https://www.indeed.com/cmp/HubSpot,0,B2BSaaS
75,Okta,https://www.linkedin.com/company/okta-inc-/jobs/,https://www.indeed.com/cmp/Okta,0,B2BSaaS
76,Salesforce,https://www.linkedin.com/company/salesforce/jobs/,https://www.indeed.com/cmp/Salesforce,0,B2BSaaS
77,ServiceTitan,https://www.linkedin.com/company/servicetitan/jobs/,https://www.indeed.com/cmp/ServiceTitan,0,B2BSaaS
78,Monday.com,https://www.linkedin.com/company/mondaydotcom/jobs/,https://www.indeed.com/cmp/Monday.com,0,B2BSaaS
79,Gong,https://www.linkedin.com/company/gong-io/jobs/,https://www.indeed.com/cmp/Gong-7,0,B2BSaaS
80,Toast,https://www.linkedin.com/company/toast-inc/jobs/,"https://www.indeed.com/cmp/Toast,-Inc",0,B2BSaaS
84,Squarespace,https://www.linkedin.com/company/squarespace/jobs/,https://www.indeed.com/cmp/Squarespace,0,MarketingSaaS
86,TestB,https://www.linkedin.com/company/testB,https://www.indeed.com/cmp/testB,0,AI
87,TestC,https://www.linkedin.com/company/testC,https://www.indeed.com/cmp/testC,0,AI
